categoria,titular,resumen
tecnologia,Nueva startup lanza asistente virtual,La herramienta usa modelos de lenguaje para soporte al cliente
deportes,Equipo local gana campeonato regional,El partido se definio en tiempo extra con marcador cerrado
economia,Inflacion mensual muestra desaceleracion,Analistas proyectan mayor estabilidad para el proximo trimestre
salud,Hospital implementa triage inteligente,El sistema clasifica urgencias con apoyo de analitica
politica,Congreso debate reforma educativa,La propuesta incluye mayor inversion en capacitacion docente
tecnologia,Universidad abre laboratorio de IA,El centro investigara NLP vision por computador y robotica
deportes,Atleta rompe record nacional,La marca fue alcanzada durante un torneo internacional
economia,Empresas reportan mejora en ventas,El consumo interno mostro señales de recuperacion
salud,Campana promueve vacunacion preventiva,Autoridades esperan mayor cobertura en zonas rurales
politica,Alcaldia anuncia plan de movilidad,El proyecto prioriza transporte publico y ciclovias
tecnologia,Comunidad open source publica nueva libreria,La herramienta simplifica experimentos de machine learning
deportes,Torneo juvenil inicia este fin de semana,Participaran mas de cincuenta equipos de todo el pais
