texto,sentimiento
Excelente servicio y atencion del equipo (caso positivo 1),positivo
Recibi mi pedido rapido y en perfecto estado (caso positivo 2),positivo
La calidad del producto supero mis expectativas (caso positivo 3),positivo
Muy buena experiencia de compra online (caso positivo 4),positivo
El soporte tecnico resolvio mi problema enseguida (caso positivo 5),positivo
Me encanto la presentacion y el empaque (caso positivo 6),positivo
Proceso de pago simple y seguro (caso positivo 7),positivo
Producto util y facil de usar (caso positivo 8),positivo
Volvere a comprar sin duda (caso positivo 9),positivo
La relacion calidad precio es muy buena (caso positivo 10),positivo
Excelente servicio y atencion del equipo (caso positivo 11),positivo
Recibi mi pedido rapido y en perfecto estado (caso positivo 12),positivo
La calidad del producto supero mis expectativas (caso positivo 13),positivo
Muy buena experiencia de compra online (caso positivo 14),positivo
El soporte tecnico resolvio mi problema enseguida (caso positivo 15),positivo
Me encanto la presentacion y el empaque (caso positivo 16),positivo
Proceso de pago simple y seguro (caso positivo 17),positivo
Producto util y facil de usar (caso positivo 18),positivo
Volvere a comprar sin duda (caso positivo 19),positivo
La relacion calidad precio es muy buena (caso positivo 20),positivo
Excelente servicio y atencion del equipo (caso positivo 21),positivo
Recibi mi pedido rapido y en perfecto estado (caso positivo 22),positivo
La calidad del producto supero mis expectativas (caso positivo 23),positivo
Muy buena experiencia de compra online (caso positivo 24),positivo
El soporte tecnico resolvio mi problema enseguida (caso positivo 25),positivo
Me encanto la presentacion y el empaque (caso positivo 26),positivo
Proceso de pago simple y seguro (caso positivo 27),positivo
Producto util y facil de usar (caso positivo 28),positivo
Volvere a comprar sin duda (caso positivo 29),positivo
La relacion calidad precio es muy buena (caso positivo 30),positivo
Excelente servicio y atencion del equipo (caso positivo 31),positivo
Recibi mi pedido rapido y en perfecto estado (caso positivo 32),positivo
La calidad del producto supero mis expectativas (caso positivo 33),positivo
Muy buena experiencia de compra online (caso positivo 34),positivo
El soporte tecnico resolvio mi problema enseguida (caso positivo 35),positivo
Me encanto la presentacion y el empaque (caso positivo 36),positivo
Proceso de pago simple y seguro (caso positivo 37),positivo
Producto util y facil de usar (caso positivo 38),positivo
Volvere a comprar sin duda (caso positivo 39),positivo
La relacion calidad precio es muy buena (caso positivo 40),positivo
Excelente servicio y atencion del equipo (caso positivo 41),positivo
Recibi mi pedido rapido y en perfecto estado (caso positivo 42),positivo
La calidad del producto supero mis expectativas (caso positivo 43),positivo
Muy buena experiencia de compra online (caso positivo 44),positivo
El soporte tecnico resolvio mi problema enseguida (caso positivo 45),positivo
Me encanto la presentacion y el empaque (caso positivo 46),positivo
Proceso de pago simple y seguro (caso positivo 47),positivo
Producto util y facil de usar (caso positivo 48),positivo
Volvere a comprar sin duda (caso positivo 49),positivo
La relacion calidad precio es muy buena (caso positivo 50),positivo
El pedido llego tarde y mal embalado (caso negativo 1),negativo
La calidad del producto fue decepcionante (caso negativo 2),negativo
No recibi respuesta del soporte (caso negativo 3),negativo
La aplicacion falla constantemente (caso negativo 4),negativo
Experiencia de compra confusa y lenta (caso negativo 5),negativo
El producto no coincide con la descripcion (caso negativo 6),negativo
Tuve problemas para realizar el pago (caso negativo 7),negativo
El servicio al cliente fue poco amable (caso negativo 8),negativo
No volveria a comprar aqui (caso negativo 9),negativo
Precio alto para lo que ofrece (caso negativo 10),negativo
El pedido llego tarde y mal embalado (caso negativo 11),negativo
La calidad del producto fue decepcionante (caso negativo 12),negativo
No recibi respuesta del soporte (caso negativo 13),negativo
La aplicacion falla constantemente (caso negativo 14),negativo
Experiencia de compra confusa y lenta (caso negativo 15),negativo
El producto no coincide con la descripcion (caso negativo 16),negativo
Tuve problemas para realizar el pago (caso negativo 17),negativo
El servicio al cliente fue poco amable (caso negativo 18),negativo
No volveria a comprar aqui (caso negativo 19),negativo
Precio alto para lo que ofrece (caso negativo 20),negativo
El pedido llego tarde y mal embalado (caso negativo 21),negativo
La calidad del producto fue decepcionante (caso negativo 22),negativo
No recibi respuesta del soporte (caso negativo 23),negativo
La aplicacion falla constantemente (caso negativo 24),negativo
Experiencia de compra confusa y lenta (caso negativo 25),negativo
El producto no coincide con la descripcion (caso negativo 26),negativo
Tuve problemas para realizar el pago (caso negativo 27),negativo
El servicio al cliente fue poco amable (caso negativo 28),negativo
No volveria a comprar aqui (caso negativo 29),negativo
Precio alto para lo que ofrece (caso negativo 30),negativo
El pedido llego tarde y mal embalado (caso negativo 31),negativo
La calidad del producto fue decepcionante (caso negativo 32),negativo
No recibi respuesta del soporte (caso negativo 33),negativo
La aplicacion falla constantemente (caso negativo 34),negativo
Experiencia de compra confusa y lenta (caso negativo 35),negativo
El producto no coincide con la descripcion (caso negativo 36),negativo
Tuve problemas para realizar el pago (caso negativo 37),negativo
El servicio al cliente fue poco amable (caso negativo 38),negativo
No volveria a comprar aqui (caso negativo 39),negativo
Precio alto para lo que ofrece (caso negativo 40),negativo
El pedido llego tarde y mal embalado (caso negativo 41),negativo
La calidad del producto fue decepcionante (caso negativo 42),negativo
No recibi respuesta del soporte (caso negativo 43),negativo
La aplicacion falla constantemente (caso negativo 44),negativo
Experiencia de compra confusa y lenta (caso negativo 45),negativo
El producto no coincide con la descripcion (caso negativo 46),negativo
Tuve problemas para realizar el pago (caso negativo 47),negativo
El servicio al cliente fue poco amable (caso negativo 48),negativo
No volveria a comprar aqui (caso negativo 49),negativo
Precio alto para lo que ofrece (caso negativo 50),negativo
