titulo,resena,sentimiento
Horizonte Azul,La historia fue emotiva y las actuaciones excelentes,positivo
Noche Final,Guion confuso y ritmo lento durante casi toda la pelicula,negativo
Codigo Lunar,Muy buena fotografia y final sorprendente,positivo
Ciudad Vacia,Dialogos forzados y personajes poco creibles,negativo
Ruta Infinita,Banda sonora memorable y trama bien construida,positivo
Ecos del Pasado,Demasiado larga y con escenas repetitivas,negativo
Frontera Digital,Interesante propuesta con gran direccion de arte,positivo
Silencio Gris,Poca coherencia narrativa y actuaciones regulares,negativo
Tiempo de Fuego,Entretenida de principio a fin,positivo
Marea Oscura,No conecta emocionalmente con el espectador,negativo
Luz de Invierno,Excelente equilibrio entre drama y humor,positivo
Ultima Escena,Final apresurado y personajes desaprovechados,negativo
